status,latitude,longitude,evse_id
AVAILABLE,42.3621739,14.1988562,IT0721090075*2
AVAILABLE,41.8844489,12.6076417,IT0721090082
AVAILABLE,41.8844489,12.6076417,IT0721090082*2
AVAILABLE,41.8844489,12.6076417,IT0721090084*1
AVAILABLE,41.8844489,12.6076417,IT0721090084*2
AVAILABLE,45.2293948,11.7391515,IT0721090085*1
AVAILABLE,45.2293948,11.7391515,IT0721090085*2
AVAILABLE,41.8844489,12.6076417,IT0721090086*1
AVAILABLE,41.8844489,12.6076417,IT0721090086*2
AVAILABLE,44.8448589,11.6489016,IT0721090094*1
AVAILABLE,44.8448589,11.6489016,IT0721090094*2
AVAILABLE,45.2293948,11.7391515,IT0721090095*1
AVAILABLE,45.2293948,11.7391515,IT0721090095*2
AVAILABLE,45.478264,9.3084021,IT0721090097*1
AVAILABLE,45.478264,9.3084021,IT0721090097*2
AVAILABLE,45.4359859,7.9283459,IT0721090133*1
AVAILABLE,45.328806,11.908734,IT*2ZG*EGS287.M504*1
AVAILABLE,45.328806,11.908734,IT*2ZG*EGS287.M504*2
AVAILABLE,45.328806,11.908734,IT*2ZG*EGS287.M504*3
AVAILABLE,45.328806,11.908734,IT*2ZG*EGS287.M504*4
AVAILABLE,45.9275976,12.3749318,IT*2ZG*EGS323.M504*1
AVAILABLE,45.9516454,12.3913011,IT*2ZG*EGS334.M504*1
AVAILABLE,45.354832,12.030204,IT*2ZG*EGS385.M504*1
AVAILABLE,45.354832,12.030204,IT*2ZG*EGS385.M504*2
AVAILABLE,45.354832,12.030204,IT*2ZG*EGS385.M504*3
AVAILABLE,45.354832,12.030204,IT*2ZG*EGS385.M504*4
AVAILABLE,45.411243,11.844981,IT*2ZG*EGS715.M504*1
AVAILABLE,45.411243,11.844981,IT*2ZG*EGS715.M504*2
AVAILABLE,45.411243,11.844981,IT*2ZG*EGS715.M504*3
AVAILABLE,45.411243,11.844981,IT*2ZG*EGS715.M504*4
AVAILABLE,43.4614318,11.882631,IT*2ZG*EORB0016*1
AVAILABLE,43.4614318,11.882631,IT*2ZG*EORB0016*2
AVAILABLE,45.6329843,12.264761,IT*2ZG*EORB0020*1
AVAILABLE,45.6329843,12.264761,IT*2ZG*EORB0020*2
AVAILABLE,45.696523,9.035395,IT*2ZG*ESCAME03*1
AVAILABLE,45.696523,9.035395,IT*2ZG*ESCAME03*2
AVAILABLE,45.696523,9.035395,IT*2ZG*ESCAME03*3
AVAILABLE,45.696523,9.035395,IT*2ZG*ESCAME03*4
AVAILABLE,45.696523,9.035395,IT*2ZG*ESCAME03*5
AVAILABLE,45.696523,9.035395,IT*2ZG*ESCAME03*6
AVAILABLE,43.4562782,11.8812092,IT*2ZG*ESCAME08*1
AVAILABLE,43.4562782,11.8812092,IT*2ZG*ESCAME08*2
AVAILABLE,43.4562782,11.8812092,IT*2ZG*ESCAME08*3
AVAILABLE,43.4562782,11.8812092,IT*2ZG*ESCAME08*4
AVAILABLE,43.4562782,11.8812092,IT*2ZG*ESCAME08*5
AVAILABLE,43.4562782,11.8812092,IT*2ZG*ESCAME08*6
AVAILABLE,43.4562782,11.8812092,IT*2ZG*ESCAME08*7
AVAILABLE,43.4562782,11.8812092,IT*2ZG*ESCAME08*8
AVAILABLE,44.887086,9.987618,IT*2ZG*ESCAME11*1
AVAILABLE,44.887086,9.987618,IT*2ZG*ESCAME11*2
AVAILABLE,45.316003,11.914887,IT*2ZG*ESCAME12*1
AVAILABLE,45.316003,11.914887,IT*2ZG*ESCAME12*2
AVAILABLE,45.492005,12.259673,IT*2ZG*ESCAME13*1
AVAILABLE,45.492005,12.259673,IT*2ZG*ESCAME13*2
AVAILABLE,45.344312,11.867134,IT*2ZG*ESCAME14*1
AVAILABLE,45.474663,9.990978,IT*2ZG*ESCAME15*1
AVAILABLE,45.474663,9.990978,IT*2ZG*ESCAME15*2
AVAILABLE,45.559275,12.231906,IT*2ZG*ESCAME19*1
AVAILABLE,45.559275,12.231906,IT*2ZG*ESCAME19*2
AVAILABLE,45.587314,12.300986,IT*2ZG*ESCAME20*1
AVAILABLE,45.587314,12.300986,IT*2ZG*ESCAME20*2
AVAILABLE,45.554319,12.246778,IT*2ZG*ESCAME21*1
AVAILABLE,45.554319,12.246778,IT*2ZG*ESCAME21*2
AVAILABLE,45.559592,12.235417,IT*2ZG*ESCAME22*1
AVAILABLE,45.559592,12.235417,IT*2ZG*ESCAME22*2
AVAILABLE,45.534358,12.244756,IT*2ZG*ESCAME23*1
AVAILABLE,45.534358,12.244756,IT*2ZG*ESCAME23*2
AVAILABLE,45.534358,12.244756,IT*2ZG*ESCAME23*3
AVAILABLE,45.534358,12.244756,IT*2ZG*ESCAME23*4
AVAILABLE,43.426653,11.829262,IT*2ZG*ESCAME26*1
AVAILABLE,43.426653,11.829262,IT*2ZG*ESCAME26*2
AVAILABLE,43.426653,11.829262,IT*2ZG*ESCAME26*3
AVAILABLE,43.426653,11.829262,IT*2ZG*ESCAME26*4
AVAILABLE,43.426653,11.829262,IT*2ZG*ESCAME26_blk*1
AVAILABLE,43.426653,11.829262,IT*2ZG*ESCAME26_blk*2
AVAILABLE,44.47215,8.911363,IT*2ZG*ESCAME29*1
AVAILABLE,44.47215,8.911363,IT*2ZG*ESCAME29*2
AVAILABLE,44.4211,8.8812,IT*2ZG*ESCAME30*1
AVAILABLE,44.4211,8.8812,IT*2ZG*ESCAME30*2
AVAILABLE,46.009361,12.617586,IT*2ZG*ESCAME31*1
AVAILABLE,46.009361,12.617586,IT*2ZG*ESCAME31*2
AVAILABLE,46.279857,10.257476,IT*2ZG*ESCAME33*1
AVAILABLE,45.810648,9.086502,IT*2ZG*ESCAME34*1
AVAILABLE,45.810648,9.086502,IT*2ZG*ESCAME34*2
AVAILABLE,45.7860873,9.422684,IT*2ZG*ESCAME38*1
AVAILABLE,45.7860873,9.422684,IT*2ZG*ESCAME38*2
AVAILABLE,39.980605,18.243682,IT*2ZG*ESCAME40*1
AVAILABLE,39.980605,18.243682,IT*2ZG*ESCAME40*2
AVAILABLE,45.2801102,11.8639007,IT*2ZG*ESCAME41*1
AVAILABLE,45.2801102,11.8639007,IT*2ZG*ESCAME41*2
AVAILABLE,45.55084,11.00411,IT*2ZG*ESCAME42*1
AVAILABLE,45.55084,11.00411,IT*2ZG*ESCAME42*2
AVAILABLE,45.55084,11.00411,IT*2ZG*ESCAME42*3
AVAILABLE,45.55084,11.00411,IT*2ZG*ESCAME42*4
AVAILABLE,45.6572584,9.1663807,IT*2ZG*ESCAME43*1
AVAILABLE,45.6572584,9.1663807,IT*2ZG*ESCAME43*2
AVAILABLE,45.6572584,9.1663807,IT*2ZG*ESCAME43*3
AVAILABLE,45.6572584,9.1663807,IT*2ZG*ESCAME43*4
AVAILABLE,45.6572584,9.1663807,IT*2ZG*ESCAME43*5
AVAILABLE,45.415623,9.115721,IT*2ZG*ESCAME48*1
AVAILABLE,45.415623,9.115721,IT*2ZG*ESCAME48*2
AVAILABLE,45.4610239,9.1887957,IT*2ZG*ESCAME49*1
AVAILABLE,45.4610239,9.1887957,IT*2ZG*ESCAME49*2
AVAILABLE,45.782586,12.412346,IT*2ZG*ESCAME50*1
AVAILABLE,45.3731112,11.9859643,IT*2ZG*ESCAME53*1
AVAILABLE,45.3731112,11.9859643,IT*2ZG*ESCAME53*2
AVAILABLE,45.3731112,11.9859643,IT*2ZG*ESCAME53*3
AVAILABLE,45.3731112,11.9859643,IT*2ZG*ESCAME53*4
AVAILABLE,44.0585255,8.0199314,IT*2ZG*ESCAME56*1
AVAILABLE,44.0585255,8.0199314,IT*2ZG*ESCAME56*2
AVAILABLE,44.0585255,8.0199314,IT*2ZG*ESCAME56*3
AVAILABLE,42.8075938,10.3138726,IT*2ZG*ESCAME58*1
AVAILABLE,42.8075938,10.3138726,IT*2ZG*ESCAME58*2
AVAILABLE,45.821775,12.258727,IT*2ZG*ESCAME59*1
AVAILABLE,45.821775,12.258727,IT*2ZG*ESCAME59*2
AVAILABLE,45.5804075,10.0265396,IT*2ZG*ESCAME71*1
AVAILABLE,45.5804075,10.0265396,IT*2ZG*ESCAME71*2
AVAILABLE,45.611825,12.235998,IT*2ZG*ESCAME73*1
AVAILABLE,45.611825,12.235998,IT*2ZG*ESCAME73*2
AVAILABLE,43.8653444,10.259411,IT*2ZG*ESCAME76*1
AVAILABLE,43.8653444,10.259411,IT*2ZG*ESCAME76*2
AVAILABLE,43.8653444,10.259411,IT*2ZG*ESCAME76*3
AVAILABLE,43.8653444,10.259411,IT*2ZG*ESCAME76*4
AVAILABLE,45.602343,9.00004,IT*2ZG*ESCAME77*1
AVAILABLE,45.602343,9.00004,IT*2ZG*ESCAME77*2
AVAILABLE,45.602343,9.00004,IT*2ZG*ESCAME77*3
AVAILABLE,45.602343,9.00004,IT*2ZG*ESCAME77*4
AVAILABLE,45.8985535,12.2983936,IT*2ZG*ESCAME78*1
AVAILABLE,45.8985535,12.2983936,IT*2ZG*ESCAME78*2
AVAILABLE,45.8900753,12.3021897,IT*2ZG*ESCAME79*1
AVAILABLE,45.8900753,12.3021897,IT*2ZG*ESCAME79*2
AVAILABLE,45.8870014,12.3019032,IT*2ZG*ESCAME80*1
AVAILABLE,45.8870014,12.3019032,IT*2ZG*ESCAME80*2
AVAILABLE,45.8827455,12.2944426,IT*2ZG*ESCAME81*1
AVAILABLE,45.8827455,12.2944426,IT*2ZG*ESCAME81*2
AVAILABLE,45.8905831,12.3061921,IT*2ZG*ESCAME82*1
AVAILABLE,45.8905831,12.3061921,IT*2ZG*ESCAME82*2
AVAILABLE,45.9426809,12.3183389,IT*2ZG*ESCAME83*1
AVAILABLE,45.9426809,12.3183389,IT*2ZG*ESCAME83*2
AVAILABLE,45.8801765,12.3087402,IT*2ZG*ESCAME84*1
AVAILABLE,45.8801765,12.3087402,IT*2ZG*ESCAME84*2
AVAILABLE,45.8668343,12.3150873,IT*2ZG*ESCAME85*1
AVAILABLE,45.8668343,12.3150873,IT*2ZG*ESCAME85*2
AVAILABLE,45.871062,12.2728621,IT*2ZG*ESCAME86*1
AVAILABLE,45.871062,12.2728621,IT*2ZG*ESCAME86*2
AVAILABLE,45.8758858,12.2881126,IT*2ZG*ESCAME87*1
AVAILABLE,45.8758858,12.2881126,IT*2ZG*ESCAME87*2
AVAILABLE,45.8880121,12.3423487,IT*2ZG*ESCAME88*1
AVAILABLE,45.8880121,12.3423487,IT*2ZG*ESCAME88*2
AVAILABLE,45.291522,9.986409,IT*2ZG*ESCAME90*1
AVAILABLE,45.291522,9.986409,IT*2ZG*ESCAME90*2
AVAILABLE,45.2943209,9.9877085,IT*2ZG*ESCAME91*1
AVAILABLE,45.2943209,9.9877085,IT*2ZG*ESCAME91*2
AVAILABLE,45.2943209,9.9877085,IT*2ZG*ESCAME92*1
AVAILABLE,45.2943209,9.9877085,IT*2ZG*ESCAME92*2
AVAILABLE,45.29099,12.03757,IT*2ZG*ESCAME94*1
AVAILABLE,45.29099,12.03757,IT*2ZG*ESCAME94*2
AVAILABLE,45.2905,12.03182,IT*2ZG*ESCAME95*1
AVAILABLE,45.2905,12.03182,IT*2ZG*ESCAME95*2
AVAILABLE,45.29562,12.03779,IT*2ZG*ESCAME96*1
AVAILABLE,45.29562,12.03779,IT*2ZG*ESCAME96*2
AVAILABLE,45.29643,12.03881,IT*2ZG*ESCAME97*1
AVAILABLE,45.29643,12.03881,IT*2ZG*ESCAME97*2
AVAILABLE,42.343855,13.646262,IT*2ZG*ESCAME100*1
AVAILABLE,42.343855,13.646262,IT*2ZG*ESCAME100*2
